name,address_street,address_suite,address_zip,inspection_date,inspection_score,inspection_type
ADAMSON HIGH SCHOOL,201 E NINTH ST,,75203,2013-04-16,91,routine
HECTOR GARCIA MIDDLE SCHOOL,700 E EIGHTH ST,,75203,2013-04-16,93,routine
J ERIK JONSSON COMMUNITY,106 E TENTH ST,,75203,2013-04-16,93,routine
BASKIN ROBBINS,5500 GREENVILLE AVE,#501,75206,2013-04-16,91,routine
CANDLEROOM,5039 WILLIS AVE,A,75206,2013-04-16,90,routine
ROYAL THAI,5500 GREENVILLE AVE,#608,75206,2013-04-16,82,routine
TRINITY BASIN PREPARATORY,808 N EWING AVE,,75208,2013-04-16,97,routine
MI COCINA,6332 LA VISTA DR,,75214,2013-04-16,97,routine
BABY BACK SHAK,1800 S AKARD ST,,75215,2013-04-16,83,routine
EMILIOS RESTAURANT,2016 S ERVAY ST,,75215,2013-04-16,74,routine
FROSTY FREEZE,1202 S AKARD ST,,75215,2013-04-16,100,routine
S CENTRAL 1ST GAS BEER & WINE,2111 S CENTRAL EXPW,,75215,2013-04-16,70,routine
STOP AND SAVE FOOD STORE,3525 SUNNYVALE ST,,75216,2013-04-16,80,routine
FAMILY DOLLAR #1580,1515 S BUCKNER BLVD,253,75217,2013-04-16,96,routine
H GRADY SPRUCE HIGH,9733 S SEAGOVILLE RD,,75217,2013-04-16,100,routine
JULIUS DORSEY ELEMENTARY,133 N ST AUGUSTINE RD,,75217,2013-04-16,97,routine
TIZON TAKOZ ARANDAZ,8921 LAKE JUNE RD,,75217,2013-04-16,90,routine
VERONA ITALIAN CAFE,9039 GARLAND RD,,75218,2013-04-16,87,routine
ALEXANDRE'S,4026 CEDAR SPRINGS RD,#B,75219,2013-04-16,97,routine
C-STORE #12,4040 CEDAR SPRINGS RD,,75219,2013-04-16,83,routine
CAFE BRAZIL,3847 CEDAR SPRINGS RD,,75219,2013-04-16,85,routine
DALLAS WOODY'S,4011 CEDAR SPRINGS RD,,75219,2013-04-16,96,routine
PARIGI (CAFETERIA),3819 MAPLE AVE,,75219,2013-04-16,87,routine
CLUB 2009,10707 FINNELL ST,,75220,2013-04-16,83,routine
ESCAPADE,2551 LOMBARDY LN,#10,75220,2013-04-16,93,routine
ESCAPADE 2001,10701 FINNELL ST,,75220,2013-04-16,87,routine
RESTAURANT Y TAQUERIA LUP,9628 OVERLAKE DR,100,75220,2013-04-16,82,follow-up
DON'S FOOD STORE,825 S CARROLL AVE,,75223,2013-04-16,83,routine
13530 TIGER MART #68,145 W ANN ARBOR AVE,,75224,2013-04-16,84,follow-up
ALTERNATIVE CENTER @ VILLAGE FAIR,4949 VILLAGE FAIR DR,,75224,2013-04-16,94,routine
JOHN W CARPENTER SCH,2121 TOSCA LN,,75224,2013-04-16,97,routine
MI SAZON MEXICAN RESTAURANT,3505 S POLK ST,,75224,2013-04-16,80,routine
TAQUERIA RICONADA,2306 MOUNTAIN LAKE RD,,75224,2013-04-16,80,routine
TOP POT DOUGHNUTS,8611 HILLCREST RD,#195,75225,2013-04-16,87,routine
CAFE GOURMET ON THE GO,8115 PRESTON RD,#140,75225,2013-04-16,80,routine
CHIPOTLE MEXICAN GRILL,8301 WESTCHESTER DR,,75225,2013-04-16,92,routine
FLYING FISH,6126 LUTHER LN,#B,75225,2013-04-16,90,routine
MARSALA WOK,6106 LUTHER LN,,75225,2013-04-16,82,routine
PEI WEI ASIAN DINER,8305 WESTCHESTER DR,,75225,2013-04-16,80,routine
SALATA,8307 WESTCHESTER DR,#B,75225,2013-04-16,86,routine
JENAS ALLGOOD CAFE,2934 MAIN ST,,75226,2013-04-16,73,routine
WALGREENS #09015,4702 N JIM MILLER RD,,75227,2013-04-16,100,routine
CVS PHARMACY #6966,6004 SAMUELL BLVD,,75228,2013-04-16,91,routine
FAMILY DOLLAR,2417 GUS THOMASSON RD,,75228,2013-04-16,93,routine
FAMILY DOLLAR #7426,9840 FERGUSON RD,,75228,2013-04-16,96,routine
C-STORE KITCHEN,2903 ROYAL LN,,75229,2013-04-16,87,routine
C-STORE ROYAL DENNIS,2903 ROYAL LN,,75229,2013-04-16,94,routine
CRISTINA RESTAURANT,10909 WEBB CHAPEL RD,#155,75229,2013-04-16,80,routine
MEI MEI BUFFET,10455 N CENTRAL EXPW,123,75231,2013-04-16,76,routine
DAVID W. CARTER HIGH SCHOOL,1819 W WHEATLAND RD,,75232,2013-04-16,97,routine
KROGER #511 BAKERY,10677 E NORTHWEST HWY,300,75238,2013-04-16,94,routine
KROGER #511 GROCERY,10677 E NORTHWEST HWY,300,75238,2013-04-16,90,routine
KROGER #511 MEAT/ SEAFOOD,10677 E NORTHWEST HWY,300,75238,2013-04-16,94,routine
KROGER SHUSHI,10677 E NORTHWEST HWY,300,75238,2013-04-16,94,routine
GATEWAY CHARTER ACADEMY,6103 HOUSTON SCHOOL RD,,75241,2013-04-16,91,routine
EUREST DINING SERVICE,13510 N CENTRAL EXPW,,75243,2013-04-16,84,routine
HYATT PLACE,12411 N CENTRAL EXPW,,75243,2013-04-16,82,routine
MCDONALDS,11820 ABRAMS RD,,75243,2013-04-16,90,routine
SHELL ON 75,13910 N CENTRAL EXPW,,75243,2013-04-16,97,routine
WHATABURGER #708,11880 N CENTRAL EXPW,,75243,2013-04-16,82,routine
POPEYES,18311 MARSH LN,,75252,2013-04-16,93,routine
13343 SAINT ANN CAFE,2514 HARRY HINES BLVD,,75201,2013-04-17,80,routine
MURPHYS DELI,717 N HARWOOD ST,111,75201,2013-04-17,93,routine
ONE STOP DICKEY'S,2324 MCKINNEY AVE,,75201,2013-04-17,83,routine
QUIZNO'S,720 N HARWOOD ST,,75201,2013-04-17,97,routine
SMASHBURGER,2222 MCKINNEY AVE,280,75201,2013-04-17,93,routine
THE CUPCAKERY,2222 MCKINNEY AVE,#230,75201,2013-04-17,97,routine
"THE TOWER AND REGENCY ROW RESIDENCES, INC",2555 N PEARL ST,,75201,2013-04-17,100,routine
"THE TOWER AND REGENCY ROW RESIDENCES, INC",2555 N PEARL ST,,75201,2013-04-17,100,routine
A MOTIONS FOOD MART,829 S CORINTH ST RD,,75203,2013-04-17,84,routine
JAMES BOWIE ELEM SCHOOL - KITCHEN,330 N MARSALIS AVE,,75203,2013-04-17,94,routine
E-BAR TEX MEX RESTAURANT,1901 N HASKELL AVE,#120,75204,2013-04-17,80,routine
BLACK FRIAR PUB UPSTAIRS,2621 MCKINNEY AVE,#A,75204,2013-04-17,93,routine
BLACKFRIAR PUB,2621 MCKINNEY AVE,#A,75204,2013-04-17,80,routine
THE STANDARD POUR,2900 MCKINNEY AVE,,75204,2013-04-17,80,routine
THE STANDARD POUR (OUTSIDE BAR),2900 MCKINNEY AVE,,75204,2013-04-17,97,routine
WENDY KRISPIN CATERER,528 S HALL ST,,75206,2013-04-17,83,routine
BOUDE STOREY JR HIGH,3000 MARYLAND AVE,,75216,2013-04-17,93,routine
CLARA OLIVER ELEMENTARY,4010 IDAHO DR,,75216,2013-04-17,92,routine
HAROLD BUDD ELEMENTARY,2121 S MARSALIS AVE,,75216,2013-04-17,90,routine
STACKHOUSE BURGERS,2917 GASTON AVE,,75226,2013-04-17,80,routine
UNCLE UBER'S SAMMICH SHOP,2713 COMMERCE ST,,75226,2013-04-17,80,routine
CHURCH'S CHICKEN #201,10295 FERGUSON RD,,75228,2013-04-17,83,routine
GRANDY'S #2039,8228 E RL THORNTON FRWY,,75228,2013-04-17,80,routine
HOLIDAY INN EXPRESS,8703 E RL THORNTON FRWY,,75228,2013-04-17,94,routine
POPEYE'S,8120 E RL THORNTON FRWY,,75228,2013-04-17,91,routine
EVERETTE L DEGOLYER,3453 FLAIR DR,,75229,2013-04-17,100,routine
INDOOR SOCCER ZONE/JUICE BAR,2323 CROWN RD,,75229,2013-04-17,100,routine
INDOOR SOCCER ZONE/KITCHEN,2323 CROWN RD,,75229,2013-04-17,94,routine
PERSHING ELEMENTARY SCHOOL,5717 MEADERS LN,,75229,2013-04-17,93,routine
WENDY'S,2507 ROYAL LN,,75229,2013-04-17,97,routine
ARTHUR KRAMER ELEMENTARY,7131 MIDBURY DR,,75230,2013-04-17,91,routine
E.D. WALKER MIDDLE SCHOOL,12532 NUESTRA DR,,75230,2013-04-17,94,routine
FISH CITY GRILL,10720 PRESTON RD,#1012,75230,2013-04-17,86,routine
GEORGE B DEALEY,6501 ROYAL LN,,75230,2013-04-17,93,routine
SHINJUKU SUSHI,8204 WALNUT HILL LN SSB,#LL1,75231,2013-04-17,94,routine
LORI'S GIFTS #20,8200 WALNUT HILL LN,101B,75231,2013-04-17,97,routine
MI COCINA,7215 SKILLMAN ST,328,75231,2013-04-17,82,routine
NORTH CENTRAL SURGICAL CENTER KITCHEN,9301 N CENTRAL EXPW,100,75231,2013-04-17,90,routine
PHYSICIANS DINING AREA,8200 WALNUT HILL LN,,75231,2013-04-17,94,routine
PRESBYTERIAN HOSPITAL MAIN CAFE,8200 WALNUT HILL LN,,75231,2013-04-17,94,routine
T G TERRY SCH,6661 GREENSPAN DR,,75232,2013-04-17,100,routine
UMPHREY LEE SCH,7808 RACINE DR,,75232,2013-04-17,97,routine
WENDY'S,3790 FOREST LN,,75234,2013-04-17,93,routine
BAILEY'S CAFE,2525 INWOOD RD,#123,75235,2013-04-17,84,routine
MAPLE LAWN SCHOOL,3120 INWOOD RD,,75235,2013-04-17,88,routine
SONNY BRYAN'S SMOKEHOUSE,2202 INWOOD RD,,75235,2013-04-17,86,routine
THOMAS J RUSK JR HIGH,2929 INWOOD RD,,75235,2013-04-17,91,routine
TORTERIA LA HECHICERA,5611 MAPLE AVE,#A,75235,2013-04-17,82,routine
CVS PHARMACY #5894,13033 COIT RD,,75240,2013-04-17,93,routine
MCDONALD'S CORPORATION,13105 MONTFORT DR,,75240,2013-04-17,88,routine
FAMILY DOLLAR #6050,6171 BONNIE VIEW RD,,75241,2013-04-17,89,routine
SUBWAY,12800 ABRAMS RD,,75243,2013-04-17,91,routine
MR GATTI'S,9247 SKILLMAN ST,#104,75243,2013-04-17,93,routine
RICHLAND COLLEGE BOOKSTORE,12800 ABRAMS RD,,75243,2013-04-17,93,routine
S & S ENTERPRISES,12800 ABRAMS RD,,75243,2013-04-17,90,routine
BAYLOR HEALTH CARE SYSTEM CAFETERIA,3535 WORTH ST,,75246,2013-04-17,100,routine
TONY'S DELI,820 N FITZHUGH AVE,,75246,2013-04-17,88,routine
WOLFGANG PUCK LEVEL 9 PANTRY,2400 FLORA ST,,75201,2013-04-18,100,routine
WOLFGANG PUCK PANTRY LEVEL 6,2400 FLORA ST,,75201,2013-04-18,100,routine
DAKOTA'S,600 N AKARD ST,#110,75201,2013-04-18,93,routine
MURPHY'S DELI,1717 MAIN ST,#C100,75201,2013-04-18,100,routine
WOLFGANG PUCK LEVEL 10 PANTRY,2400 FLORA ST,,75201,2013-04-18,100,routine
WOLFGANG PUCK LOBBY BAR,2400 FLORA ST,,75201,2013-04-18,100,routine
WOODY'S GRILL,1717 MAIN ST,#C140,75201,2013-04-18,90,routine
AK THAI,4801 BRYAN ST,#100,75204,2013-04-18,81,routine
SCOTTS DELI,4100 BRYAN ST,,75204,2013-04-18,80,routine
CAFE ROTI,4438 MCKINNEY AVE,#100,75205,2013-04-18,81,follow-up
TACOS EL REGIO,5014 W DAVIS ST,,75211,2013-04-18,84,routine
TORTAS Y TACOS EL JALALITO,5102 W DAVIS ST,,75211,2013-04-18,90,routine
PEPE'S GROCERY DELI,4819 BERNAL DR,,75212,2013-04-18,57,routine
PINKSTON HIGH SCHOOL,2200 DENNISON ST,,75212,2013-04-18,97,routine
WILD SALSA,1800 MAIN ST,,75214,2013-04-18,97,routine
OLLIE'S CAFE,4817 S MALCOLM X BLVD,#B,75215,2013-04-18,82,routine
FAMILY CONVENIENCE STORE,2811 S MARSALIS AVE,,75216,2013-04-18,80,routine
DALLAS ATHLETIC CC MAIN BAR,4111 DALLAS ATHLETIC CLUB DR,,75228,2013-04-18,94,routine
DALLAS ATHLETIC CC MAIN KITCHEN,4111 DALLAS ATHLETIC CLUB DR,,75228,2013-04-18,94,routine
DALLAS ATHLETIC CC POOL,4111 DALLAS ATHLETIC CLUB DR,,75228,2013-04-18,94,routine
DALLAS ATHLETIC CC TERRACE ROOM,4111 DALLAS ATHLETIC CLUB DR,,75228,2013-04-18,100,routine
DONUT LOVERS,6760 ABRAMS RD,#115,75231,2013-04-18,81,follow-up
TAJ MAHAL INDIAN RESTAURA,10455 N CENTRAL EXPW,#120,75231,2013-04-18,83,routine
FAMILY DOLLAR #1457,1153 W CAMP WISDOM RD,,75232,2013-04-18,89,routine
7-11 #24092,9750 WALNUT HILL LN,,75238,2013-04-18,94,routine
WHITEROCK COURT,9215 WHITE ROCK TRL,,75238,2013-04-18,94,routine
MCDONALD'S IN WALMART,15220 MONTFORT DR,,75240,2013-04-18,90,routine
BONE DADDY'S,8856 SPRING VALLEY RD,,75243,2013-04-18,90,routine
DRAFT PICKS,703 MCKINNEY AVE,#101,75202,2013-04-19,80,follow-up
BETTY'S BEST AROUND,3607 GREENVILLE AVE,#A,75206,2013-04-19,87,routine
COSMOTOLITAN,1212 SKILLMAN ST,,75206,2013-04-19,84,routine
ENERGY II DELI,4849 GREENVILLE AVE,#105,75206,2013-04-19,82,routine
FREEBIRDS,5500 GREENVILLE AVE,#209,75206,2013-04-19,90,routine
HYENA'S COMEDY CLUB,5321 E MOCKINGBIRD LN,220,75206,2013-04-19,84,routine
IZMIR MARKET & DELI,3607 GREENVILLE AVE,,75206,2013-04-19,93,routine
KISMET,3707 GREENVILLE AVE,,75206,2013-04-19,81,routine
PIGGIE PIE PIZZA,5315 GREENVILLE AVE,,75206,2013-04-19,94,routine
STEEL CITY POPS,2012 GREENVILLE AVE,,75206,2013-04-19,85,routine
VERITAS,2323 N HENDERSON AVE,#103A,75206,2013-04-19,88,routine
FRUTERIA GUERRERO,712 S WALTON WALKER BLVD,#12-N,75211,2013-04-19,93,routine
LA CHIHUAHUITA,712 S WALTON WALKER BLVD,11-S,75211,2013-04-19,96,routine
TORTERIA POTOSINA,712 S WALTON WALKER BLVD,#12A,75211,2013-04-19,87,routine
24 SPORT BAR,4941 COLUMBIA AVE,,75214,2013-04-19,96,routine
EL MARACHI CLUB,4939 COLUMBIA AVE,,75214,2013-04-19,87,routine
AVILA'S MEXICAN RESTAURANT,4714 MAPLE AVE,,75219,2013-04-19,93,routine
MAPLE DELI,3500 MAPLE AVE,#110,75219,2013-04-19,86,routine
MESQUITE SPORTS BAR,4628 MAPLE AVE,,75219,2013-04-19,94,routine
SCOTTISH RITE HOSPITAL SERVERY,2222 WELBURN ST,,75219,2013-04-19,96,routine
SCOTTISH RITE/CLINIC LEVEL & CRAYON CAFE,2222 WELBURN ST,,75219,2013-04-19,93,routine
WAL-MART #2667,7401 SAMUELL BLVD,,75227,2013-04-19,94,routine
WAL-MART #2667 DELI,7401 SAMUELL BLVD,,75227,2013-04-19,94,routine
WAL-MART #2667 SEAFOOD,7401 SAMUELL BLVD,,75227,2013-04-19,94,routine
WAL-MART BAKERY,7401 SAMUELL BLVD,,75227,2013-04-19,94,routine
EAST DALLAS SOCIAL ASSOCIATION,3035 N BUCKNER BLVD,,75228,2013-04-19,94,routine
E H CARY JR HIGH,3978 KILLION DR,,75229,2013-04-19,94,routine
THOMAS JEFFERSON HIGH SCHOOL,4001 WALNUT HILL LN,,75229,2013-04-19,100,routine
FRANKLIN STADIUM,10000 HILLCREST RD,,75230,2013-04-19,97,routine
HILLCREST HIGH SCHOOL,9924 HILLCREST RD,,75230,2013-04-19,94,routine
TACO CABANA #136,6919 GREENVILLE AVE,,75231,2013-04-19,82,routine
NORTHWOOD CLUB-PAVILION BAR,6524 ALPHA RD,,75240,2013-04-19,91,routine
LA MICHOACANA/CARNICERIA,8702 SPRING VALLEY RD,C,75240,2013-04-19,89,routine
LA MICHOACANA/TAQUERIA,8702 SPRING VALLEY RD,C,75240,2013-04-19,93,routine
9TH GRADE CAFE DUN/ISD,7101 W WHEATLAND RD,,75249,2013-04-19,97,routine
ACTON ELEMENTARY SCHOOL,9240 COUNTRY VIEW,,75249,2013-04-19,97,routine
JIM BILHARTZ JR ELEM SCH,6700 WANDT DR,,75249,2013-04-19,97,routine
RUMOR 2ND FLR OUTSIDE BAR,2710 MCKINNEY AVE,B,75204,2013-04-20,94,routine
THE DEN & RUMOR LOUNGE,2710 MCKINNEY AVE,B,75204,2013-04-20,81,routine
THE DEN & RUMOR LOUNGE ROOF TOP BAR,2710 MCKINNEY AVE,B,75204,2013-04-20,91,routine
UNION BEAR,3699 MCKINNEY AVE,C306,75204,2013-04-20,82,routine
THE DRAM,2918 N HENDERSON AVE,,75206,2013-04-20,90,routine
ANATOLE HOTEL BAKERY,2201 N STEMMONS FRWY,27 FL,75207,2013-04-20,91,routine
ANATOLE HOTEL BANQUET KITCHEN,2201 N STEMMONS FRWY,27 FL,75207,2013-04-20,91,routine
ANATOLE HOTEL BUTCHER SHOP,2201 N STEMMONS FRWY,27 FL,75207,2013-04-20,100,routine
ANATOLE HOTEL EMPLOYEE CAFE,2201 N STEMMONS FRWY,27 FL,75207,2013-04-20,100,routine
ANATOLE HOTEL GOSSIP BAR,2201 N STEMMONS FRWY,27 FL,75207,2013-04-20,100,routine
ANATOLE HOTEL GRAB N GO,2201 N STEMMONS FRWY,27 FL,75207,2013-04-20,97,routine
ANATOLE HOTEL MAIN KITCHEN,2201 N STEMMONS FRWY,27 FL,75207,2013-04-20,90,routine
ANATOLE HOTEL POOL,2201 N STEMMONS FRWY,27 FL,75207,2013-04-20,97,routine
ANATOLE HOTEL STEWARDING,2201 N STEMMONS FRWY,27 FL,75207,2013-04-20,100,routine
ANATOLE HOTEL TRINITY HALL,2201 N STEMMONS FRWY,27 FL,75207,2013-04-20,93,routine
ANATOLE HOTEL-CONCERGE 25TH FLR,2201 N STEMMONS FRWY,27 FL,75207,2013-04-20,100,routine
MEDIA BAR-ANATOLE HOTEL,2201 N STEMMONS FRWY,27 FL,75207,2013-04-20,100,routine
EL CRISTAL BAR,10523 HARRY HINES BLVD,,75220,2013-04-20,90,routine
KALUA DISCOTHEQUE,2435 W NORTHWEST HWY,#101,75220,2013-04-20,83,routine
NO RA ZO,11311 HARRY HINES BLVD,#506,75220,2013-04-20,80,routine
SUZE,4345 W NORTHWEST HWY,#270,75220,2013-04-20,81,routine
CMCV,2415 W NORTHWEST HWY,#108,75227,2013-04-20,88,routine
TEJANO WEST,6532 E NORTHWEST HWY,,75231,2013-04-20,88,routine
JAMUNA TRADING,1959 N STEMMONS FRWY,,75207,2013-04-21,96,routine
PURPLE ONION,1838 IRVING BLVD,,75207,2013-04-21,90,routine
CHILDREN'S MEDICAL CENTER,1935 MEDICAL DISTRICT DR,,75235,2013-04-21,100,routine
HILTON GARDEN INN BAR,2325 N STEMMONS FRWY,,75235,2013-04-21,100,routine
HILTON GARDEN INN KITCHEN,2325 N STEMMONS FRWY,,75235,2013-04-21,94,routine
HILTON GARDEN INN PANTRY,2325 N STEMMONS FRWY,,75235,2013-04-21,100,routine
JIMMY JOHNS GOURMET SANDWICHES,2222 MEDICAL DISTRICT DR,#200,75235,2013-04-21,97,routine
EMPIRE CENTRAL SHELL,8390 N STEMMONS FRWY,,75247,2013-04-21,100,routine
MCDONALDS,8390 N STEMMONS FRWY,A,75247,2013-04-21,93,routine
TACO BELL/ PIZZA HUT #371,8249 N STEMMONS FRWY,,75247,2013-04-21,97,routine
TACO FAST,351 S RIVERFRONT BLVD,A,75207,2013-04-22,92,routine
DENNY'S RESTAURANT #7710,2030 N MARKET CENTER BLVD,,75207,2013-04-22,85,routine
JACK IN THE BOX 4820,190 CONTINENTAL AVE,,75207,2013-04-22,97,routine
WB RIVERFRONT SHELL,707 N RIVERFRONT BLVD,,75207,2013-04-22,100,routine
AIR CULINAIRE,8001 LEMMON AVE,,75209,2013-04-22,90,routine
HENRY LONGFELLOW ELEM,5314 BOAZ LN,,75209,2013-04-22,97,routine
K B POLK ELEMENTARY SCH,6911 VICTORIA AVE,,75209,2013-04-22,97,routine
MARIO'S MEXICAN & SALVADORIAN,5404 LEMMON AVE,,75209,2013-04-22,88,routine
WHICH WICH,5610 LEMMON AVE,B2,75209,2013-04-22,97,routine
ANTOJITOS CAFE MINI STORE,509 N GILPIN AVE,,75211,2013-04-22,86,routine
AMELIA EARHART ELEMENTARY SCHOOL,3531 N WESTMORELAND RD,,75212,2013-04-22,94,routine
DALLAS ENVIRONMENTAL SCIENCE,3635 GREENLEAF ST,,75212,2013-04-22,93,routine
GEORGE WASH CARVER,3719 GREENLEAF ST,,75212,2013-04-22,97,routine
ME & MOM'S DINER,5057 SINGLETON BLVD,,75212,2013-04-22,83,follow-up
BARACK OBAMA MALE LEADERSHIP ACADE,4730 S LANCASTER RD,,75216,2013-04-22,95,routine
H.I. HOLLAND ELEMENTARY,4203 S LANCASTER RD,,75216,2013-04-22,94,routine
DAIRY QUEEN RESTAURANT,332 S ST AUGUSTINE RD,,75217,2013-04-22,94,routine
MI TIENDITA,1227 WORLD STORE CT,100-1,75217,2013-04-22,100,routine
TACO BELL #20488,1955 S BUCKNER BLVD,,75217,2013-04-22,94,routine
FRUTTI PALETERA & REFRESQUERIA,2915 COMMUNITY DR,#103,75220,2013-04-22,89,routine
LOS BALONES SPORT BAR & RESTAURANT,2905 WEBB CHAPEL EXT,,75220,2013-04-22,85,routine
MCDONALDS,5337 EAST GRAND AVE,,75223,2013-04-22,93,routine
SAND BAR CATINA,317 S SECOND AVE,,75226,2013-04-22,85,routine
NOVA ACADEMY,2800 PRICHARD LN,,75227,2013-04-22,92,routine
NOVA ACADEMY,6459 SCYENE RD,,75227,2013-04-22,100,routine
BISHOP LYNCH CAFETERIA,9750 FERGUSON RD,,75228,2013-04-22,96,routine
BISHOP LYNCH STADIUM,9750 FERGUSON RD,,75228,2013-04-22,90,routine
SUBWAY SANDWICHES #14395,3302 N BUCKNER BLVD,#105,75228,2013-04-22,97,routine
13584 SAM FOOD AND BEER,2802 ROYAL LN,#101,75229,2013-04-22,91,routine
E P CAILLET ELEMENTARY,3033 MERRELL RD,,75229,2013-04-22,94,routine
WENDY'S #2415,10046 MARSH LN,,75229,2013-04-22,82,routine
CAFE SILVA,8499 GREENVILLE AVE,100,75231,2013-04-22,97,routine
LA MICHOACANA GROCERY,9850 WALNUT HILL LN,224,75238,2013-04-22,87,routine
LA MICHOACANA MEAT MARKET,9850 WALNUT HILL LN,224,75238,2013-04-22,83,routine
LA MICHOACANA TAQUERIA,9850 WALNUT HILL LN,224,75238,2013-04-22,82,routine
MEEZ FOOD MART,10020 ROYAL LN,,75238,2013-04-22,84,routine
TACO BELL,9820 WALNUT HILL LN,,75238,2013-04-22,94,routine
CICI'S PIZZA,7879 SPRING VALLEY RD,139,75240,2013-04-22,88,routine
FRUITLANDIA/WATER INN,14215 COIT RD,,75240,2013-04-22,82,routine
J N ERVIN ELEMENTARY,3722 BLACK OAK DR,,75241,2013-04-22,97,routine
KENNEDY-CURRY MIDDLE SCHOOL,6605 SEBRING DR,,75241,2013-04-22,97,routine
GREEN FOREST TEXACO,9100 FOREST LN,,75243,2013-04-22,91,routine
W.T. WHITE HIGH SCHOOL,4505 RIDGESIDE DR,,75244,2013-04-22,94,routine
DUDE SWEET CHOCOLATE,1340 INWOOD RD,,75247,2013-04-22,94,routine
MASSIMO'S BAKERY,7303 JOHN CARPENTER FRWY,,75247,2013-04-22,97,routine
BARUCH HASHEM CONGREGATION,6304 BELTLINE RD,,75248,2013-04-22,92,routine
THE DOG STOP,6857 ARAPAHO RD,,75248,2013-04-22,82,routine
AMVETS POST 23,12531 C F HAWN FRWY,,75253,2013-04-22,97,routine
MCDONALDS,1808 S BELTLINE RD,,75253,2013-04-22,97,routine
HOTEL ST GERMAIN,2516 MAPLE AVE,,75201,2013-04-23,97,routine
MORTON'S OF CHICAGO STEAKHOUSE,2222 MCKINNEY AVE,#200,75201,2013-04-23,93,routine
OCEAN PRIME,2101 CEDAR SPRINGS RD,132,75201,2013-04-23,97,routine
PATIO BAR,2101 CEDAR SPRINGS RD,132,75201,2013-04-23,100,routine
STONELEIGH P REST,2926 MAPLE AVE,,75201,2013-04-23,86,routine
THE OLD WARSAW,2610 MAPLE AVE,,75201,2013-04-23,83,routine
DALLAS COUNTY CAFE,600 COMMERCE ST,,75202,2013-04-23,86,routine
THE FOOD BOUTIQUE,2620 CEDAR SPRINGS RD,C,75204,2013-04-23,100,routine
BIG C FOOD MART,2240 IRVING BLVD,,75207,2013-04-23,85,routine
COURTYARD BY MARRIOTT,2150 MARKET CENTER BLVD,,75207,2013-04-23,92,routine
DAYS INN,2026 N MARKET CENTER BLVD,,75207,2013-04-23,89,routine
DOUBLETREE HOTEL DALLAS,2015 N MARKET CENTER BLVD,,75207,2013-04-23,80,routine
EMPIRE ROOM,1225 N RIVERFRONT BLVD,,75207,2013-04-23,92,routine
FRANK CROWLEY CAFETERIA & SNACK BAR,133 N RIVERFRONT BLVD,,75207,2013-04-23,97,routine
FRANK CROWLEY COURTS BLDG CAFETERIA,133 N RIVERFRONT BLVD,,75207,2013-04-23,92,routine
INFORMART MAIN KITCHEN,1950 N STEMMONS FRWY,1042,75207,2013-04-23,93,routine
INFORMAT PAVILLION,1950 N STEMMONS FRWY,1042,75207,2013-04-23,93,routine
"INWOOD ESTATES VINEYARDS, INC",1350 MANUFACTURING,209,75207,2013-04-23,94,routine
LA DUNI,2612 IRVING BLVD,,75207,2013-04-23,97,routine
MAMA'S DAUGHTER'S DINER,2014 IRVING BLVD,,75207,2013-04-23,89,routine
TACO STOP,1900 IRVING BLVD,,75207,2013-04-23,93,routine
THE SLOW BONE,2234 IRVING BLVD,,75207,2013-04-23,100,routine
AMPHITHEATRE BLDG #F,1701 EXPOSITION AVE,,75210,2013-04-23,97,routine
AMPHITHEATRE BLDG #H-L,1818 first AVE,,75210,2013-04-23,94,routine
AMPHITHEATRE BLDG #H-S,1818 FIRST AVE,,75210,2013-04-23,97,routine
AMPHITHEATRE BLDG #J-S,1818 FIRST AVE,,75210,2013-04-23,97,routine
AMPHITHEATRE BLDG #L-J,1818 FIRST AVE,,75210,2013-04-23,94,routine
AMPHITHEATRE BLDG #Q,1818 FIRST AVE,,75210,2013-04-23,94,routine
AMPHITHEATRE BLDG #T,1818 FIRST AVE,,75210,2013-04-23,94,routine
GEXA ENERGY PAVILION BLDG #U LIVE NATION,1818 FIRST AVE,,75210,2013-04-23,97,routine
MARISCOS ACAPULCO,3301 SINGLETON BLVD,,75212,2013-04-23,84,routine
S CENTRAL 1ST GAS BEER & WINE,2111 S CENTRAL EXPW,,75215,2013-04-23,81,routine
SCOBEE FOODS,1812 CORINTH ST,,75215,2013-04-23,96,routine
SHOP N GO GROCERY,1909 S CESAR CHAVEZ BLVD,,75215,2013-04-23,73,routine
SMART & FINAL MART,1507 S ERVAY ST,,75215,2013-04-23,97,routine
EL POLLO REGIO,3800 S LANCASTER RD,,75216,2013-04-23,84,routine
LITTLE CAESARS PIZZA #1617-002,3200 S LANCASTER RD,#170A,75216,2013-04-23,83,routine
STOP AND SAVE FOOD MART,1406 OVERTON RD,,75216,2013-04-23,85,routine
UP N FLAMEZ,3613 RAMONA AVE,,75216,2013-04-23,87,routine
WHITNEY YOUNG ELEMENTARY,4601 VETERANS DR,,75216,2013-04-23,94,routine
INSPIRED VISION ACADEMY II,8501 BRUTON RD,,75217,2013-04-23,97,routine
NOVA CHARTER SCHOOL SE,8301 BRUTON RD,,75217,2013-04-23,94,routine
KIN KIN,3211 OAK LAWN AVE,#C,75219,2013-04-23,84,routine
GREEN PAPAYA,3211 OAK LAWN AVE,#B,75219,2013-04-23,86,routine
